# MCGRATH_AP
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,5.05,0.00
1,5.02,0.00
2,5.90,0.00
3,7.50,0.00
4,9.25,0.00
5,8.57,0.00
6,9.17,0.00
7,9.72,0.00
8,8.48,0.00
9,7.57,0.00
10,8.53,0.00
11,9.03,0.00
12,9.67,0.00
13,9.08,0.00
14,8.13,0.00
15,8.85,0.00
16,12.12,0.00
17,9.68,0.00
18,10.92,0.00
19,11.68,0.00
20,13.50,0.00
21,13.83,0.00
22,14.87,0.00
23,16.75,0.00
24,17.40,0.00
25,15.87,0.00
26,14.00,0.00
27,15.78,0.00
28,17.82,0.00
29,17.27,0.00
30,20.15,0.00
31,22.77,0.00
32,23.83,0.00
33,24.62,0.00
34,24.67,0.00
35,24.75,0.00
36,24.07,0.00
37,25.08,0.00
38,25.10,0.00
39,26.83,0.00
40,28.03,0.00
41,26.75,0.00
42,28.38,0.00
43,29.73,0.00
44,31.15,0.00
45,29.95,0.00
46,30.10,0.00
47,32.22,0.22
48,34.10,2.10
49,34.52,2.52
50,35.38,3.38
51,36.72,4.72
52,37.60,5.60
53,37.93,5.93
54,38.15,6.15
55,38.47,6.47
56,38.67,6.67
57,39.23,7.23
58,38.95,6.95
59,39.83,7.83
60,40.23,8.23
61,39.72,7.72
62,39.82,7.82
63,39.93,7.93
64,40.02,8.02
65,41.32,9.32
66,42.40,10.40
67,43.20,11.20
68,42.62,10.62
69,44.35,12.35
70,45.55,13.55
71,45.77,13.77
72,47.35,15.35
73,46.37,14.37
74,47.45,15.45
75,48.00,16.00
76,48.90,16.90
77,48.63,16.63
78,48.87,16.87
79,49.47,17.47
80,50.07,18.07
81,50.68,18.68
82,51.18,19.18
83,51.87,19.87
84,52.28,20.28
85,52.68,20.68
86,52.82,20.82
87,53.05,21.05
88,54.02,22.02
89,55.02,23.02
90,55.40,23.40
91,54.95,22.95
92,54.42,22.42
93,54.43,22.43
94,55.67,23.67
95,55.60,23.60
96,56.52,24.52
97,57.45,25.45
98,56.82,24.82
99,55.92,23.92
100,55.80,23.80
101,55.67,23.67
102,56.47,24.47
103,56.62,24.62
104,57.92,25.92
105,58.13,26.13
106,58.33,26.33
107,59.27,27.27
108,59.88,27.88
109,59.62,27.62
110,60.05,28.05
111,60.00,28.00
112,59.45,27.45
113,59.25,27.25
114,60.23,28.23
115,59.28,27.28
116,59.35,27.35
117,60.02,28.02
118,60.60,28.60
119,60.60,28.60
120,61.43,29.43
121,60.72,28.72
