# FAIRBANKS_INTL_AP
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,3.57,0.00
1,2.65,0.00
2,3.25,0.00
3,4.47,0.00
4,5.42,0.00
5,7.33,0.00
6,8.32,0.00
7,8.20,0.00
8,7.38,0.00
9,6.42,0.00
10,6.48,0.00
11,6.15,0.00
12,7.10,0.00
13,8.40,0.00
14,8.62,0.00
15,8.73,0.00
16,9.33,0.00
17,9.75,0.00
18,11.17,0.00
19,11.70,0.00
20,12.85,0.00
21,13.82,0.00
22,16.35,0.00
23,17.37,0.00
24,18.78,0.00
25,16.12,0.00
26,15.58,0.00
27,17.90,0.00
28,18.62,0.00
29,18.03,0.00
30,20.70,0.00
31,23.35,0.00
32,22.18,0.00
33,23.18,0.00
34,26.13,0.00
35,26.75,0.00
36,27.50,0.00
37,27.18,0.00
38,26.90,0.00
39,28.90,0.00
40,29.52,0.00
41,30.20,0.00
42,30.03,0.00
43,30.88,0.00
44,32.45,0.45
45,32.45,0.45
46,32.73,0.73
47,34.33,2.33
48,36.23,4.23
49,36.67,4.67
50,38.65,6.65
51,39.23,7.23
52,40.67,8.67
53,41.02,9.02
54,40.35,8.35
55,40.17,8.17
56,41.50,9.50
57,41.90,9.90
58,41.23,9.23
59,42.65,10.65
60,42.92,10.92
61,42.47,10.47
62,42.52,10.52
63,42.90,10.90
64,42.78,10.78
65,43.23,11.23
66,44.12,12.12
67,44.93,12.93
68,46.32,14.32
69,47.17,15.17
70,48.07,16.07
71,48.63,16.63
72,48.77,16.77
73,48.62,16.62
74,49.40,17.40
75,50.10,18.10
76,50.77,18.77
77,49.78,17.78
78,50.58,18.58
79,51.80,19.80
80,52.90,20.90
81,53.10,21.10
82,53.98,21.98
83,54.80,22.80
84,55.08,23.08
85,55.63,23.63
86,56.58,24.58
87,55.83,23.83
88,56.15,24.15
89,57.05,25.05
90,57.38,25.38
91,56.95,24.95
92,56.60,24.60
93,56.67,24.67
94,57.07,25.07
95,58.35,26.35
96,58.87,26.87
97,58.73,26.73
98,58.80,26.80
99,60.37,28.37
100,59.37,27.37
101,60.13,28.13
102,59.52,27.52
103,59.37,27.37
104,60.53,28.53
105,61.35,29.35
106,60.87,28.87
107,61.77,29.77
108,62.08,30.08
109,62.08,30.08
110,62.43,30.43
111,63.17,31.17
112,63.25,31.25
113,62.83,30.83
114,62.55,30.55
115,62.77,30.77
116,62.97,30.97
117,62.97,30.97
118,62.40,30.40
119,63.25,31.25
120,64.23,32.23
121,63.43,31.43
