# CHICKEN
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997, 2002, 2003
#
d_since_march1,Tavg_F,tdd
0,-7.17,0.00
1,-7.14,0.00
2,-7.52,0.00
3,-7.62,0.00
4,-6.07,0.00
5,-5.50,0.00
6,-3.36,0.00
7,-0.79,0.00
8,0.62,0.00
9,0.43,0.00
10,-0.71,0.00
11,0.62,0.00
12,2.79,0.00
13,0.79,0.00
14,0.88,0.00
15,1.79,0.00
16,4.62,0.00
17,2.12,0.00
18,3.26,0.00
19,4.07,0.00
20,5.07,0.00
21,7.07,0.00
22,9.07,0.00
23,10.67,0.00
24,12.19,0.00
25,12.93,0.00
26,11.90,0.00
27,12.95,0.00
28,14.50,0.00
29,16.10,0.00
30,16.95,0.00
31,17.10,0.00
32,18.52,0.00
33,17.71,0.00
34,17.12,0.00
35,19.45,0.00
36,21.95,0.00
37,22.21,0.00
38,21.74,0.00
39,22.64,0.00
40,22.14,0.00
41,23.33,0.00
42,25.64,0.00
43,25.74,0.00
44,25.19,0.00
45,26.71,0.00
46,26.36,0.00
47,26.74,0.00
48,28.67,0.00
49,29.45,0.00
50,31.60,0.00
51,31.71,0.00
52,33.48,1.48
53,34.17,2.17
54,34.52,2.52
55,34.10,2.10
56,33.50,1.50
57,34.33,2.33
58,35.98,3.98
59,37.04,5.04
60,36.90,4.90
61,37.19,5.19
62,37.95,5.95
63,37.36,5.36
64,38.13,6.13
65,37.69,5.69
66,38.95,6.95
67,39.57,7.57
68,40.29,8.29
69,40.79,8.79
70,41.50,9.50
71,42.14,10.14
72,42.14,10.14
73,42.17,10.17
74,41.55,9.55
75,42.76,10.76
76,44.38,12.38
77,44.06,12.06
78,43.21,11.21
79,44.93,12.93
80,45.36,13.36
81,46.19,14.19
82,48.64,16.64
83,47.45,15.45
84,48.81,16.81
85,49.90,17.90
86,48.26,16.26
87,49.48,17.48
88,48.36,16.36
89,48.86,16.86
90,50.19,18.19
91,51.88,19.88
92,49.25,17.25
93,49.31,17.31
94,51.71,19.71
95,49.93,17.93
96,50.60,18.60
97,51.88,19.88
98,52.79,20.79
99,52.19,20.19
100,53.67,21.67
101,54.17,22.17
102,53.67,21.67
103,52.79,20.79
104,51.07,19.07
105,52.75,20.75
106,52.93,20.93
107,54.52,22.52
108,54.55,22.55
109,55.48,23.48
110,54.69,22.69
111,55.88,23.88
112,57.76,25.76
113,55.55,23.55
114,55.57,23.57
115,54.52,22.52
116,55.17,23.17
117,55.31,23.31
118,55.00,23.00
119,54.74,22.74
120,53.13,21.13
121,52.42,20.42
