# COLLEGE_OBSERVATORY
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2000, 2002, 2004, 2007
#
d_since_march1,Tavg_F,tdd
0,7.33,0.00
1,4.54,0.00
2,5.13,0.00
3,6.68,0.00
4,8.46,0.00
5,9.94,0.00
6,11.24,0.00
7,11.79,0.00
8,12.42,0.00
9,9.13,0.00
10,8.25,0.00
11,9.17,0.00
12,8.17,0.00
13,9.90,0.00
14,11.08,0.00
15,10.04,0.00
16,9.38,0.00
17,10.98,0.00
18,12.90,0.00
19,13.63,0.00
20,13.94,0.00
21,14.19,0.00
22,16.40,0.00
23,18.00,0.00
24,20.69,0.00
25,21.35,0.00
26,18.17,0.00
27,18.58,0.00
28,21.16,0.00
29,22.52,0.00
30,22.31,0.00
31,24.58,0.00
32,25.08,0.00
33,23.65,0.00
34,25.37,0.00
35,27.92,0.00
36,28.40,0.00
37,28.09,0.00
38,26.35,0.00
39,26.96,0.00
40,29.19,0.00
41,30.13,0.00
42,30.88,0.00
43,30.65,0.00
44,30.64,0.00
45,32.54,0.54
46,31.81,0.00
47,32.27,0.27
48,34.56,2.56
49,36.04,4.04
50,37.08,5.08
51,37.87,5.87
52,39.24,7.24
53,41.62,9.62
54,41.00,9.00
55,39.87,7.87
56,40.04,8.04
57,41.85,9.85
58,40.98,8.98
59,41.31,9.31
60,42.46,10.46
61,41.60,9.60
62,41.63,9.63
63,42.19,10.19
64,41.00,9.00
65,41.65,9.65
66,41.92,9.92
67,44.30,12.30
68,44.38,12.38
69,46.31,14.31
70,47.81,15.81
71,47.88,15.88
72,48.75,16.75
73,48.75,16.75
74,47.21,15.21
75,48.25,16.25
76,48.69,16.69
77,47.96,15.96
78,48.50,16.50
79,49.08,17.08
80,50.81,18.81
81,51.08,19.08
82,51.77,19.77
83,52.27,20.27
84,53.25,21.25
85,53.81,21.81
86,54.46,22.46
87,55.17,23.17
88,54.13,22.13
89,55.81,23.81
90,56.48,24.48
91,55.86,23.86
92,55.50,23.50
93,54.42,22.42
94,55.13,23.13
95,55.45,23.45
96,56.77,24.77
97,56.87,24.87
98,56.60,24.60
99,58.12,26.12
100,58.71,26.71
101,58.08,26.08
102,58.10,26.10
103,57.77,25.77
104,56.88,24.88
105,59.37,27.37
106,59.69,27.69
107,60.33,28.33
108,59.25,27.25
109,60.13,28.13
110,60.90,28.90
111,61.36,29.36
112,61.66,29.66
113,60.94,28.94
114,60.81,28.81
115,60.81,28.81
116,60.33,28.33
117,61.28,29.28
118,60.83,28.83
119,60.87,28.87
120,61.19,29.19
121,63.12,31.12
