# HOMER_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2016
#
d_since_march1,Tavg_F,tdd
0,25.97,0.00
1,26.84,0.00
2,26.69,0.00
3,26.21,0.00
4,27.71,0.00
5,27.84,0.00
6,29.03,0.00
7,29.12,0.00
8,27.55,0.00
9,27.72,0.00
10,27.84,0.00
11,27.28,0.00
12,27.29,0.00
13,27.52,0.00
14,27.79,0.00
15,28.31,0.00
16,28.66,0.00
17,29.21,0.00
18,28.53,0.00
19,28.47,0.00
20,29.24,0.00
21,29.84,0.00
22,31.03,0.00
23,31.62,0.00
24,32.16,0.16
25,32.36,0.36
26,31.33,0.00
27,32.74,0.74
28,32.62,0.62
29,31.36,0.00
30,32.90,0.90
31,33.38,1.38
32,34.19,2.19
33,34.79,2.79
34,35.22,3.22
35,35.79,3.79
36,34.78,2.78
37,34.91,2.91
38,35.12,3.12
39,35.31,3.31
40,36.45,4.45
41,35.69,3.69
42,36.41,4.41
43,36.07,4.07
44,37.41,5.41
45,37.59,5.59
46,37.59,5.59
47,38.34,6.34
48,39.50,7.50
49,39.43,7.43
50,39.41,7.41
51,39.53,7.53
52,40.60,8.60
53,40.05,8.05
54,40.50,8.50
55,40.74,8.74
56,41.40,9.40
57,41.50,9.50
58,41.67,9.67
59,41.74,9.74
60,41.69,9.69
61,41.26,9.26
62,41.64,9.64
63,41.57,9.57
64,41.91,9.91
65,42.07,10.07
66,42.64,10.64
67,42.67,10.67
68,42.41,10.41
69,44.02,12.02
70,43.90,11.90
71,44.02,12.02
72,43.86,11.86
73,44.09,12.09
74,45.05,13.05
75,44.59,12.59
76,44.91,12.91
77,44.69,12.69
78,44.79,12.79
79,45.31,13.31
80,45.74,13.74
81,45.97,13.97
82,47.10,15.10
83,47.53,15.53
84,47.22,15.22
85,47.60,15.60
86,47.60,15.60
87,48.28,16.28
88,48.97,16.97
89,49.34,17.34
90,48.74,16.74
91,48.91,16.91
92,48.67,16.67
93,48.81,16.81
94,49.48,17.48
95,50.33,18.33
96,50.19,18.19
97,49.78,17.78
98,49.76,17.76
99,50.09,18.09
100,49.07,17.07
101,50.09,18.09
102,50.91,18.91
103,50.48,18.48
104,50.79,18.79
105,50.57,18.57
106,51.02,19.02
107,51.45,19.45
108,52.09,20.09
109,52.43,20.43
110,52.31,20.31
111,52.60,20.60
112,52.48,20.48
113,52.17,20.17
114,51.67,19.67
115,52.59,20.59
116,53.14,21.14
117,53.16,21.16
118,53.12,21.12
119,54.00,22.00
120,54.00,22.00
121,53.31,21.31
