# DUTCH_HARBOR
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2018, 2019, 2020, 2001, 2002, 2008, 2009, 2010
#
d_since_march1,Tavg_F,tdd
0,33.86,1.86
1,34.35,2.35
2,35.25,3.25
3,35.27,3.27
4,35.41,3.41
5,35.50,3.50
6,35.89,3.89
7,34.40,2.40
8,34.19,2.19
9,33.45,1.45
10,32.50,0.50
11,32.94,0.94
12,33.32,1.32
13,33.20,1.20
14,33.14,1.14
15,32.93,0.93
16,33.18,1.18
17,33.07,1.07
18,34.18,2.18
19,34.31,2.31
20,32.57,0.57
21,33.05,1.05
22,35.00,3.00
23,35.51,3.51
24,34.27,2.27
25,33.86,1.86
26,34.25,2.25
27,35.23,3.23
28,34.46,2.46
29,34.39,2.39
30,33.95,1.95
31,34.11,2.11
32,34.67,2.67
33,35.23,3.23
34,36.25,4.25
35,35.64,3.64
36,35.05,3.05
37,35.61,3.61
38,35.41,3.41
39,35.20,3.20
40,36.25,4.25
41,36.66,4.66
42,36.18,4.18
43,35.59,3.59
44,36.95,4.95
45,36.98,4.98
46,37.11,5.11
47,37.48,5.48
48,36.84,4.84
49,36.55,4.55
50,37.05,5.05
51,37.34,5.34
52,37.27,5.27
53,38.02,6.02
54,37.73,5.73
55,37.52,5.52
56,38.43,6.43
57,39.02,7.02
58,38.64,6.64
59,39.68,7.68
60,40.25,8.25
61,39.89,7.89
62,39.61,7.61
63,39.55,7.55
64,39.50,7.50
65,39.55,7.55
66,39.68,7.68
67,40.24,8.24
68,40.93,8.93
69,40.70,8.70
70,40.64,8.64
71,41.39,9.39
72,41.48,9.48
73,41.67,9.67
74,42.09,10.09
75,41.67,9.67
76,42.30,10.30
77,42.39,10.39
78,42.00,10.00
79,42.59,10.59
80,42.45,10.45
81,42.36,10.36
82,43.02,11.02
83,43.27,11.27
84,43.50,11.50
85,43.77,11.77
86,44.18,12.18
87,44.41,12.41
88,44.20,12.20
89,44.20,12.20
90,44.43,12.43
91,44.88,12.88
92,44.23,12.23
93,45.18,13.18
94,44.95,12.95
95,45.55,13.55
96,45.30,13.30
97,45.99,13.99
98,46.61,14.61
99,46.23,14.23
100,46.50,14.50
101,46.05,14.05
102,45.89,13.89
103,46.49,14.49
104,47.09,15.09
105,47.66,15.66
106,47.30,15.30
107,47.39,15.39
108,47.34,15.34
109,47.80,15.80
110,47.34,15.34
111,47.57,15.57
112,47.70,15.70
113,49.14,17.14
114,48.25,16.25
115,48.70,16.70
116,49.27,17.27
117,48.55,16.55
118,48.32,16.32
119,49.05,17.05
120,50.25,18.25
121,49.58,17.58
