# MCKINLEY_PARK
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2003
#
d_since_march1,Tavg_F,tdd
0,8.59,0.00
1,7.38,0.00
2,8.36,0.00
3,8.45,0.00
4,10.33,0.00
5,10.16,0.00
6,10.46,0.00
7,11.93,0.00
8,12.36,0.00
9,10.34,0.00
10,10.03,0.00
11,10.47,0.00
12,11.25,0.00
13,11.40,0.00
14,11.16,0.00
15,10.12,0.00
16,9.89,0.00
17,10.25,0.00
18,12.12,0.00
19,11.79,0.00
20,13.79,0.00
21,13.88,0.00
22,16.24,0.00
23,17.28,0.00
24,16.60,0.00
25,18.04,0.00
26,16.84,0.00
27,16.67,0.00
28,19.21,0.00
29,18.91,0.00
30,19.71,0.00
31,22.24,0.00
32,23.41,0.00
33,21.19,0.00
34,21.66,0.00
35,23.95,0.00
36,25.16,0.00
37,24.95,0.00
38,24.43,0.00
39,23.91,0.00
40,25.53,0.00
41,25.93,0.00
42,25.15,0.00
43,25.81,0.00
44,26.52,0.00
45,28.50,0.00
46,28.16,0.00
47,28.45,0.00
48,29.68,0.00
49,31.14,0.00
50,33.21,1.21
51,33.17,1.17
52,34.05,2.05
53,34.95,2.95
54,35.33,3.33
55,34.83,2.83
56,33.57,1.57
57,35.59,3.59
58,35.03,3.03
59,36.00,4.00
60,36.81,4.81
61,36.93,4.93
62,36.57,4.57
63,36.99,4.99
64,36.59,4.59
65,36.74,4.74
66,37.36,5.36
67,39.16,7.16
68,39.60,7.60
69,40.10,8.10
70,41.21,9.21
71,42.67,10.67
72,42.52,10.52
73,42.33,10.33
74,42.47,10.47
75,43.59,11.59
76,43.34,11.34
77,43.43,11.43
78,43.47,11.47
79,43.74,11.74
80,45.52,13.52
81,45.16,13.16
82,46.98,14.98
83,47.07,15.07
84,48.17,16.17
85,47.93,15.93
86,48.78,16.78
87,48.66,16.66
88,48.07,16.07
89,48.43,16.43
90,49.47,17.47
91,49.60,17.60
92,48.79,16.79
93,49.43,17.43
94,50.40,18.40
95,50.33,18.33
96,50.34,18.34
97,51.21,19.21
98,52.14,20.14
99,51.95,19.95
100,52.34,20.34
101,52.07,20.07
102,52.48,20.48
103,50.74,18.74
104,51.64,19.64
105,53.93,21.93
106,54.07,22.07
107,53.86,21.86
108,54.78,22.78
109,54.91,22.91
110,55.36,23.36
111,54.86,22.86
112,54.79,22.79
113,54.78,22.78
114,54.68,22.68
115,56.24,24.24
116,55.21,23.21
117,55.22,23.22
118,55.34,23.34
119,54.59,22.59
120,56.34,24.34
121,57.40,25.40
