,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
0,ADAK AP,20427,PADK,-176.64999,51.88333,17.0,1942-10-01,2025-04-17,1942-11-01,1996-03-31
9,ALYESKA,20684,,-149.11079,60.9583,272.0,1963-11-07,2025-04-18,1963-11-07,2025-04-18
27,ANCHORAGE MERRILL FIELD,20717,PAMR,-149.85724,61.2163,126.0,1914-11-01,2025-04-17,1916-02-16,2005-02-20
30,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT,20705,PANC,-150.02771,61.16916,125.0,1952-04-01,2025-04-17,1953-02-01,2025-04-17
35,ANIAK AIRPORT,20756,PANI,-159.54305,61.58159,85.0,1920-11-08,2025-04-17,1920-08-01,1990-03-31
37,ANNEX CREEK,20558,,-134.1003,58.3183,92.0,1917-01-01,2025-04-16,1917-01-01,2025-04-16
43,ATKA AP,20431,PAAK,-174.20612,52.22028,56.0,1916-10-01,2025-04-10,1917-05-01,1949-10-31
44,ATKA ISLAND,20432,PAAK,-174.2,52.21667,,1949-01-01,2025-04-10,1949-01-01,1949-11-18
46,AUKE BAY,20560,,-134.645,58.3814,44.0,1963-02-01,2025-03-31,1963-02-01,2025-03-31
48,BARROW AIRPORT,21127,PABR,-156.73938,71.28703,27.0,1901-09-01,2025-04-17,1901-09-01,2025-02-24
50,BARTER ISLAND WSO AP,21093,PABA,-143.57693,70.13389,2.0,1947-09-23,2025-04-17,1948-09-01,1988-12-31
57,BEN'S FARM,20752,,-149.15421,61.5632,127.0,1969-05-07,2025-03-31,1969-05-01,2002-08-31
62,BETHEL AIRPORT,20674,PABE,-161.82932,60.78497,107.0,1923-08-01,2025-04-17,1923-09-01,2020-04-30
64,BETTLES AIRPORT,21030,PABT,-151.51892,66.91764,645.0,1951-05-01,2025-04-17,1951-05-01,2025-04-17
67,BIG DELTA AIRPORT,20905,PABI,-145.72134,63.99312,1273.0,1919-04-06,2025-04-17,1917-06-01,1997-12-14
88,CANNERY CREEK,20685,,-147.51469,61.0183,85.0,1979-05-01,2025-03-31,1979-05-01,2025-03-31
104,CHICKEN,20909,,-141.9211,64.0917,1800.0,1953-04-22,2025-04-18,1911-11-03,2025-04-18
120,CIRCLE HOT SPRINGS,20990,,-144.6422,65.4939,860.0,1935-07-01,2025-04-18,1935-08-01,2025-04-18
127,COLD BAY AIRPORT,20468,PACD,-162.7323,55.22068,72.0,1950-03-02,2025-04-17,1950-03-02,2020-04-30
134,COLLEGE OBSERVATORY,20958,,-147.8484,64.8603,597.0,1948-05-16,2025-04-17,1948-06-01,2025-04-17
141,CORDOVA AIRPORT,20654,PACV,-145.4445,60.48604,48.0,1909-05-07,2025-04-17,1909-09-25,2025-02-09
146,CRAIG,20479,,-133.14079,55.4772,43.0,1936-10-04,2025-04-18,1936-12-05,2025-04-18
158,DILLINGHAM AP,29839,PADL,-158.51669,59.05,86.0,1919-02-01,2025-04-17,1919-09-01,2005-05-31
162,DUTCH HARBOR,29844,PADU,-166.5433,53.895,10.0,1915-05-01,2025-04-18,1916-11-07,2025-04-18
163,EAGLE,20943,,-141.2036,64.7856,850.0,1901-11-01,2025-04-18,1901-11-01,2025-04-18
179,ELFIN COVE,20554,PAEL,-136.34351,58.1916,20.0,1975-01-01,2025-04-18,1975-01-01,2025-04-18
181,EMMONAK,20855,PAEM,-164.4911,62.78528,14.0,1977-09-02,2025-04-17,1977-09-01,1994-01-21
197,FAIRBANKS INTL AP,20947,PAFA,-147.87605,64.80309,430.0,1929-12-01,2025-04-17,1929-12-01,2025-04-17
206,FORT YUKON,29455,PFYU,-145.26666,66.56667,445.0,1899-01-01,2025-04-17,1899-01-01,1990-03-31
218,GALENA AIRPORT,29823,PAGA,-156.93443,64.73667,153.0,1942-10-01,2025-04-17,1942-10-01,1993-09-30
221,GILMORE CREEK,20963,,-147.5211,64.9766,945.0,1962-10-01,2025-04-18,1966-02-01,2025-04-17
223,GLACIER BAY,20565,,-135.8692,58.4561,45.0,1966-01-01,2025-04-04,1966-01-01,2025-04-04
227,GLENNALLEN KCAM,20820,,-145.5331,62.1086,1383.0,1965-12-16,2025-04-18,1965-12-16,2025-04-18
239,GULKANA AIRPORT,20825,PAGK,-145.45885,62.15914,1578.0,1909-02-08,2025-04-17,1909-02-08,2001-07-31
240,GUSTAVUS,29574,PAGS,-135.70889,58.4111,40.0,1923-04-01,2025-04-18,1923-04-01,2025-04-18
245,HAINES AIRPORT,29837,PAHN,-135.51138,59.24287,21.0,1911-08-08,2025-04-10,1911-11-16,2001-06-30
264,HOMER AIRPORT,20608,PAHO,-151.49098,59.64196,63.0,1932-09-01,2025-04-17,1932-09-01,1997-11-30
267,HOONAH,20547,,-135.4277,58.1071,130.0,1941-05-09,2025-03-28,1941-06-01,2025-04-18
277,ILIAMNA AIRPORT,20618,PAIL,-154.90903,59.74922,152.0,1920-04-01,2025-04-17,1920-02-11,1997-11-30
291,JUNEAU AIRPORT,20559,PAJN,-134.55606,58.354,19.0,1936-11-01,2025-04-17,1936-11-01,2025-04-17
305,KALTAG AIRPORT,20921,PAKV,-158.7326,64.3208,173.0,1944-06-01,2025-04-17,1944-06-01,1944-10-31
315,KENAI AIRPORT,20662,PAEN,-151.24152,60.57909,99.0,1899-05-01,2025-04-17,1899-05-01,1999-12-06
322,KETCHIKAN AIRPORT,31833,PAKT,-131.72195,55.3586,84.0,1910-09-01,2025-04-17,1910-11-08,2024-11-03
329,KING SALMON AIRPORT,29840,PAKN,-156.65634,58.68294,66.0,1917-06-14,2025-04-17,1917-07-01,2020-04-30
330,KITOI BAY,20551,,-152.37219,58.1913,60.0,1954-11-01,2025-02-28,1954-11-01,2025-02-28
336,KODIAK AIRPORT,29842,PADQ,-152.4881,57.75071,16.0,1931-01-01,2025-04-17,1931-01-01,2020-11-29
339,KOTZEBUE AIRPORT,21029,PAOT,-162.6068,66.88569,11.0,1897-09-12,2025-04-17,1903-06-03,2020-05-26
351,LITTLE PORT WALTER,20498,,-134.6497,56.383,14.0,1936-07-11,2025-04-18,1936-10-01,2025-04-18
363,MATANUSKA EXPERIMENTAL FARM,20753,,-149.2541,61.5663,172.0,1917-07-04,2025-03-31,1917-07-04,2025-03-31
