# YAKUTAT_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,13.00,19.00,0.00,11.50,18.50,7.50,9.00,0.00,19.00,0.50,10.50,7.50,7.50,13.50,18.50,0.00,11.50,7.00,11.00,19.00,18.00,14.00,14.00,18.00,14.50,20.00,5.00,0.00,9.00,2.50,21.00,0.00,10.50,15.50,7.00,16.00,15.50,7.50,1.00,12.00,16.50,13.50,14.00
1,26.00,37.50,4.50,20.00,35.00,21.50,16.00,0.00,33.50,1.00,23.50,13.50,14.00,22.00,35.50,6.00,24.50,8.50,19.50,29.50,33.00,26.50,30.50,35.00,29.50,40.50,7.00,0.00,24.00,2.50,38.00,0.00,25.00,29.50,13.00,31.50,29.50,12.50,1.00,23.50,31.00,28.00,27.00
2,41.00,50.50,4.50,26.50,50.50,32.50,26.00,0.00,44.50,9.00,44.00,19.50,16.00,32.50,51.00,13.00,34.00,8.50,26.50,37.50,48.00,38.00,41.50,54.50,42.50,57.50,9.00,0.00,40.00,2.50,54.00,2.50,34.50,41.50,13.00,48.50,43.00,16.00,4.00,38.50,41.00,41.00,40.50
3,52.00,59.50,4.50,34.50,69.00,36.50,38.50,0.00,56.00,17.00,61.00,23.50,19.50,50.50,56.00,19.50,41.50,16.00,31.00,41.50,58.00,50.00,45.50,68.00,55.00,74.50,13.50,0.00,56.50,4.00,68.00,5.00,37.00,51.00,18.50,67.00,58.50,16.00,13.50,49.50,51.50,52.00,54.50
4,69.00,77.00,17.00,41.50,87.00,38.00,45.00,0.00,72.50,23.00,78.00,34.50,24.50,67.50,57.50,25.50,52.00,26.00,37.00,43.00,66.50,64.50,47.00,79.50,64.00,93.00,24.00,0.00,76.00,10.00,82.50,21.00,38.50,58.00,19.00,86.00,76.50,16.00,16.50,57.00,59.50,60.50,71.50
5,86.00,89.00,28.50,50.50,108.00,42.00,55.50,3.00,88.00,25.50,93.50,46.00,28.50,84.00,65.50,30.50,54.50,37.50,42.50,43.00,72.50,81.50,47.00,86.50,74.50,112.00,37.50,13.50,93.50,20.00,93.50,34.00,49.50,64.50,19.00,104.00,93.50,16.00,28.50,65.00,60.50,73.50,86.00
6,104.00,102.50,42.50,62.50,129.50,57.50,68.50,13.00,105.00,25.50,105.00,62.00,44.50,96.50,80.50,31.50,55.50,50.50,49.50,43.00,79.00,98.50,47.00,89.50,90.00,133.00,51.00,26.00,114.00,20.00,98.00,41.00,59.00,74.50,20.00,122.50,113.50,16.00,41.00,70.50,73.50,85.50,98.50
7,122.00,123.00,56.00,75.50,149.00,73.00,79.50,21.00,120.50,25.50,114.50,73.00,64.00,112.50,98.00,31.50,58.00,63.50,53.50,43.00,84.50,115.00,47.00,91.50,103.00,155.00,64.00,38.00,130.00,20.00,108.50,46.00,73.00,88.00,34.00,139.00,134.00,16.00,51.50,85.50,86.00,93.50,107.00
8,139.00,143.50,67.00,92.00,166.00,90.50,93.50,30.50,135.50,25.50,123.50,79.50,82.50,121.50,116.00,32.50,76.00,70.00,58.00,53.50,88.50,129.50,47.00,92.50,116.00,176.00,72.50,47.00,146.50,20.00,117.00,50.50,85.50,102.00,48.50,148.00,152.50,16.00,66.50,103.00,100.00,98.50,117.00
9,151.50,163.50,75.00,112.50,188.00,105.00,110.50,38.00,152.50,25.50,130.50,81.00,104.50,131.50,133.50,32.50,94.50,80.50,73.00,68.50,97.50,146.50,50.00,92.50,132.50,198.00,74.50,56.00,160.00,28.50,123.00,50.50,97.50,114.50,64.50,148.00,170.50,16.00,81.00,121.00,113.50,111.00,132.00
10,162.50,186.00,78.50,131.50,209.50,120.00,129.00,46.00,169.00,25.50,139.50,90.00,124.00,145.50,150.00,32.50,108.50,88.00,90.50,85.00,107.50,164.50,56.00,92.50,148.50,217.00,74.50,67.50,172.50,41.50,133.50,50.50,107.00,125.00,83.50,148.00,187.00,16.00,99.50,138.00,119.50,119.50,148.50
11,175.00,206.00,84.50,152.50,225.00,136.00,148.50,57.00,182.50,28.50,157.50,101.00,142.00,164.00,169.00,32.50,119.50,98.00,108.00,101.00,122.50,181.00,61.00,92.50,163.00,239.00,74.50,78.00,182.50,55.00,140.00,50.50,116.00,130.00,99.00,155.50,204.00,16.00,119.00,156.00,121.50,124.50,163.50
12,184.00,226.00,87.50,171.00,241.00,148.00,164.00,70.50,195.50,33.00,174.50,117.00,161.50,179.00,187.00,43.50,137.00,104.00,125.50,113.00,141.00,199.00,66.50,92.50,176.00,259.00,74.50,84.50,193.00,67.00,148.50,53.00,120.50,130.00,115.00,162.50,221.50,22.50,141.50,172.50,123.50,124.50,177.50
13,190.50,249.00,96.50,188.00,257.00,161.50,177.00,80.50,207.00,43.00,190.00,128.00,177.00,190.00,203.00,49.00,153.50,108.00,145.50,121.00,159.50,217.00,70.00,99.50,188.00,275.00,74.50,88.00,200.50,75.00,165.00,59.00,128.00,133.00,130.50,167.50,236.50,28.00,163.50,191.00,129.00,124.50,191.50
14,201.50,270.50,109.00,208.00,271.00,176.50,190.50,90.50,224.50,52.00,205.00,142.50,192.50,197.00,217.50,57.50,170.00,111.00,164.00,133.00,177.00,233.50,70.50,123.00,204.50,291.50,74.50,88.50,205.50,78.50,185.00,77.50,133.50,139.50,140.50,175.00,251.50,38.50,182.50,208.00,135.50,133.50,208.50
15,216.50,291.00,124.00,228.00,286.00,191.00,200.00,104.50,241.50,63.50,221.00,159.50,206.00,201.50,231.00,76.00,188.50,112.50,183.00,140.50,193.50,248.00,70.50,139.50,219.00,304.50,74.50,93.00,219.00,87.50,202.50,94.00,145.50,149.00,149.50,188.50,271.50,44.00,201.00,229.50,144.00,141.00,227.50
16,232.50,311.00,138.50,244.50,303.00,205.50,212.00,118.00,259.50,70.50,233.50,175.00,221.00,206.50,244.00,94.50,205.50,124.50,201.00,142.50,209.50,263.50,70.50,152.00,226.00,318.00,74.50,95.00,232.50,95.50,217.50,109.00,154.50,159.50,161.00,206.00,288.00,49.00,217.50,253.50,155.00,152.50,244.00
17,249.50,334.00,152.50,260.50,320.00,222.50,229.50,130.00,277.00,85.00,249.50,184.50,239.50,210.50,251.50,101.50,220.50,140.00,218.00,142.50,225.00,271.00,71.00,168.50,231.50,332.00,76.50,100.00,246.00,101.50,233.00,120.00,161.00,166.50,176.50,227.50,305.50,50.50,234.50,279.50,170.50,161.50,262.50
18,264.00,352.50,168.50,273.50,338.00,237.00,245.50,144.50,295.00,99.50,260.50,191.50,256.00,221.00,258.00,110.00,231.50,155.50,238.00,155.50,238.00,273.50,71.00,184.50,242.50,342.00,89.00,100.00,256.50,110.50,249.50,130.00,167.50,168.50,190.50,245.00,325.50,61.00,251.50,307.00,185.50,166.50,279.50
19,273.50,369.50,184.00,285.00,353.00,249.50,262.00,156.00,311.00,114.00,270.00,196.50,274.50,232.00,270.50,118.50,240.00,170.50,259.50,171.50,254.50,273.50,74.50,199.00,250.50,351.00,105.50,102.00,264.00,122.00,264.00,138.50,173.00,173.00,201.50,261.00,347.00,76.50,265.00,333.50,203.50,170.00,295.00
20,292.00,393.50,199.50,295.00,366.50,267.00,279.50,172.50,326.50,127.00,283.00,202.50,292.00,248.50,280.50,125.00,248.50,186.50,279.00,188.00,271.00,275.00,80.00,215.00,265.50,362.00,125.50,115.50,275.00,130.00,276.50,147.50,175.00,173.00,213.00,279.50,368.00,92.00,278.00,361.00,220.00,180.50,311.50
21,305.50,417.00,215.00,305.00,381.50,286.00,296.50,196.00,340.00,142.50,300.00,207.50,308.00,267.50,287.00,127.00,262.00,200.00,300.50,207.00,286.00,275.00,86.00,226.50,281.00,376.50,147.00,130.00,291.50,141.50,289.00,156.00,180.00,175.50,221.50,296.50,389.50,104.50,298.00,388.50,237.00,190.50,328.00
22,322.50,438.00,230.00,315.50,400.50,297.50,312.50,213.00,353.00,157.00,314.00,209.00,323.50,283.00,298.50,127.00,278.00,214.00,317.50,226.00,300.00,278.00,92.00,238.00,294.00,396.50,162.00,144.00,309.50,155.00,306.00,174.00,183.00,186.50,229.50,312.50,411.50,118.00,316.00,412.00,250.50,204.50,345.00
23,341.00,463.00,246.00,329.50,416.50,306.00,327.50,231.50,366.00,171.50,327.00,217.50,338.00,298.50,316.00,127.00,292.50,229.50,337.00,243.00,318.00,294.50,97.50,251.00,307.00,412.50,174.50,153.00,323.50,166.50,322.00,189.50,189.50,201.50,240.00,328.00,435.00,132.50,326.50,433.50,263.50,218.00,364.00
24,358.00,488.00,259.00,348.00,434.50,314.00,348.00,249.00,378.00,187.00,345.00,225.50,356.50,310.50,334.50,128.00,307.00,243.00,353.50,259.50,334.50,318.00,112.50,265.50,323.00,429.00,189.00,161.50,335.00,176.00,337.00,206.00,201.50,214.50,253.50,345.50,455.00,140.00,335.50,451.50,275.00,226.50,381.00
25,375.50,510.50,271.50,369.00,455.00,321.50,366.00,266.50,391.00,199.50,364.00,242.00,371.50,321.00,351.50,142.00,320.50,257.00,366.50,272.00,353.00,336.00,128.50,278.50,337.50,449.50,204.00,166.00,345.00,190.50,348.50,224.50,213.00,221.50,262.50,367.00,475.50,156.50,342.00,477.50,289.00,243.50,398.00
26,394.00,528.50,284.00,387.00,473.00,332.00,381.50,282.00,404.50,206.50,383.50,257.50,385.00,331.00,367.00,163.50,334.50,274.50,382.00,284.00,364.50,349.50,140.00,293.00,353.00,467.00,217.00,178.00,354.00,204.00,366.50,244.50,230.00,227.50,270.00,386.50,497.50,171.50,356.50,498.00,301.50,253.00,413.50
27,412.50,546.00,293.50,407.50,492.00,338.50,399.00,298.00,420.00,214.00,399.00,272.00,392.00,349.50,383.50,182.00,349.00,290.50,397.50,295.00,372.50,362.00,151.50,310.00,371.00,480.50,233.00,188.50,361.50,216.50,386.00,266.00,249.00,235.50,278.00,406.50,519.00,188.00,371.50,514.50,311.00,259.50,430.00
