# ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,8.00,0.00,4.50,0.50,0.00,0.00,0.00,7.50,0.00,0.50,3.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.50,11.00,6.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,4.00,5.50,1.00,7.50,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00
1,4.00,14.50,0.00,4.50,0.50,0.00,0.00,0.00,15.00,0.00,13.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,7.50,24.50,13.00,0.00,0.00,0.00,1.00,0.00,14.50,0.00,0.00,7.00,8.50,4.00,14.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00
2,9.50,17.00,0.00,4.50,7.50,0.00,0.00,0.00,23.50,0.00,24.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,0.00,7.50,40.50,20.50,2.50,0.00,0.00,6.50,0.00,23.50,0.00,0.00,7.00,10.00,12.50,16.00,0.00,0.00,4.00,0.00,0.00,20.00,0.00,0.00
3,14.50,17.00,0.00,4.50,22.00,0.00,0.00,0.00,29.00,0.00,27.00,4.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,7.50,47.00,25.00,7.50,0.00,0.00,19.00,0.00,25.00,0.00,0.00,11.50,18.50,22.50,16.00,0.00,0.00,4.00,0.00,0.00,33.00,0.00,0.00
4,22.50,23.50,0.00,6.00,36.50,0.50,0.00,0.00,34.00,0.00,27.00,8.50,0.00,18.50,0.00,0.00,6.00,0.00,0.00,0.00,27.00,4.00,7.50,54.50,25.00,17.00,3.00,0.00,31.00,1.50,29.50,0.00,0.00,14.50,22.50,33.50,20.50,0.00,0.00,4.00,0.00,0.00,41.50,0.00,0.00
5,29.50,31.00,2.00,6.50,50.50,2.50,0.00,0.00,37.00,0.00,27.00,15.50,0.00,22.00,0.00,0.00,7.50,3.00,0.00,0.00,28.00,9.50,7.50,59.50,25.00,23.50,6.50,0.00,43.00,1.50,29.50,0.00,0.00,21.00,22.50,45.00,28.50,0.00,0.00,9.50,0.00,0.00,44.50,0.00,4.00
6,37.50,35.00,6.00,6.50,67.50,2.50,0.00,0.00,44.50,0.00,27.00,23.00,0.00,27.50,2.50,0.00,7.50,6.50,0.00,0.00,28.00,18.00,7.50,61.00,25.00,32.00,6.50,0.00,54.00,1.50,29.50,0.00,0.00,31.00,22.50,56.00,34.50,0.00,0.00,16.00,0.00,0.00,45.50,0.00,10.00
7,45.00,40.50,6.50,6.50,82.50,6.50,0.00,0.00,52.50,0.00,27.00,23.50,8.00,30.00,12.50,0.00,7.50,7.50,0.50,0.00,28.00,23.50,7.50,63.00,25.00,43.00,6.50,0.00,65.00,1.50,29.50,0.00,0.00,42.50,22.50,58.00,43.50,0.00,0.00,25.00,0.00,0.00,50.00,2.50,10.00
8,45.00,49.50,8.00,6.50,100.00,15.50,0.00,0.00,61.00,0.00,27.00,23.50,21.00,32.00,25.00,0.00,7.50,8.00,0.50,0.00,28.00,32.50,7.50,63.00,25.00,55.50,6.50,0.00,79.00,1.50,29.50,0.00,0.00,54.50,22.50,58.00,51.50,0.00,7.50,38.00,0.00,0.00,56.50,7.00,10.00
9,45.00,59.50,8.50,6.50,116.50,24.50,2.50,1.00,73.50,0.00,27.00,23.50,34.50,32.00,32.00,0.00,13.50,8.00,0.50,0.00,28.00,44.00,7.50,63.00,33.00,66.00,6.50,0.00,89.00,5.50,29.50,0.00,0.00,61.50,24.50,58.00,57.50,0.00,11.50,51.00,0.00,1.50,65.00,14.50,10.00
