# NORTH_POLE
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 2008, 2007
#
d_since_march1,Tavg_F,dd
0,6.57,0.00
1,5.21,0.00
2,5.54,0.00
3,6.32,0.00
4,6.34,0.00
5,9.21,0.00
6,10.11,0.00
7,9.62,0.00
8,8.84,0.00
9,8.14,0.00
10,7.88,0.00
11,8.62,0.00
12,9.55,0.00
13,11.41,0.00
14,11.46,0.00
15,11.30,0.00
16,12.32,0.00
17,12.12,0.00
18,12.02,0.00
19,13.80,0.00
20,14.98,0.00
21,15.00,0.00
22,18.01,0.00
23,19.25,0.00
24,21.39,1.39
25,19.53,0.00
26,18.02,0.00
27,20.27,0.27
28,19.62,0.00
29,19.38,0.00
30,21.30,1.30
31,23.29,3.29
32,21.71,1.71
33,23.05,3.05
34,26.21,6.21
35,27.29,7.29
36,28.52,8.52
37,27.60,7.60
38,27.34,7.34
39,28.89,8.89
40,30.02,10.02
41,30.73,10.73
42,30.09,10.09
43,30.93,10.93
44,32.59,12.59
45,32.54,12.54
46,32.57,12.57
47,33.93,13.93
48,35.83,15.83
49,36.11,16.11
50,37.57,17.57
51,37.77,17.77
52,39.70,19.70
53,39.71,19.71
54,38.25,18.25
55,39.48,19.48
56,40.05,20.05
57,41.41,21.41
58,40.75,20.75
59,41.55,21.55
60,42.11,22.11
61,41.35,21.35
62,39.89,19.89
63,40.71,20.71
64,40.29,20.29
65,41.80,21.80
66,42.55,22.55
67,43.68,23.68
68,44.51,24.51
69,45.71,25.71
70,47.02,27.02
71,46.86,26.86
72,47.55,27.55
73,47.34,27.34
74,47.45,27.45
75,48.18,28.18
76,48.16,28.16
77,48.16,28.16
78,48.91,28.91
79,49.82,29.82
80,50.90,30.90
81,50.89,30.89
82,52.32,32.32
83,53.04,33.04
84,52.84,32.84
85,53.20,33.20
86,54.27,34.27
87,53.91,33.91
88,54.18,34.18
89,54.89,34.89
90,54.95,34.95
91,55.05,35.05
92,53.88,33.88
93,54.43,34.43
94,54.55,34.55
95,56.00,36.00
96,56.30,36.30
97,57.00,37.00
98,57.26,37.26
99,58.48,38.48
100,57.86,37.86
101,57.86,37.86
102,57.77,37.77
103,57.04,37.04
104,58.18,38.18
105,59.14,39.14
106,58.59,38.59
107,59.38,39.38
108,60.02,40.02
109,60.09,40.09
110,60.12,40.12
111,60.76,40.76
112,61.27,41.27
113,60.50,40.50
114,60.56,40.56
115,61.02,41.02
116,61.42,41.42
117,61.47,41.47
118,60.80,40.80
119,61.83,41.83
120,62.09,42.09
121,60.82,40.82
